X, Y, Z, Red, Green, Blue, Gray,
106.938,294.7,95.77,0.04636705,11.86996484,222.711,242.9945745,
106.938,294.7,95.795612,0.000668915,0.171242188,43.838,3.505564089,
106.938,294.7,95.802677,0.000754288,0.193097656,49.433,3.95297572,
106.938,294.7,95.809743,0.000565903,0.144871094,37.087,2.965711377,
106.938,294.7,95.843303,0.000548691,0.140464844,35.959,2.875509354,
106.938,294.7,95.853018,0.000828232,0.212027344,54.279,4.340492568,
106.938,294.7,95.862733,0.000651886,0.166882813,42.722,3.416321662,
106.938,294.7,95.869798,0.000522125,0.133664063,34.218,2.736287969,
106.938,294.7,95.877747,0.000608521,0.15578125,39.88,3.189057344,
106.938,294.7,95.910424,0.021821121,5.586207031,150.069,114.3573733,
106.938,294.7,96.050849,0.004497345,1.151320313,38.738,23.56911694,
106.938,294.7,96.193923,0.001308762,0.335042969,85.771,6.858792314,
106.938,294.7,96.204521,0.001418304,0.363085938,92.95,7.432870616,
106.938,294.7,96.345828,0.000602982,0.154363281,39.517,3.160029566,
106.9529167,294.6999917,95.77,0.046034592,11.78485547,200.923,241.2522681,
106.9529167,294.6999917,95.795259,0.000946106,0.242203125,62.004,4.958232487,
106.9529167,294.6999917,95.801356,0.000582977,0.149242188,38.206,3.055193704,
106.9529167,294.6999917,95.808324,0.00064003,0.163847656,41.945,3.354187821,
106.9529167,294.6999917,95.816163,0.000543228,0.139066406,35.601,2.846881407,
106.9529167,294.6999917,95.821389,0.000551239,0.141117188,36.126,2.888863732,
106.9529167,294.6999917,95.829228,0.000552979,0.1415625,36.24,2.897979894,
106.9529167,294.6999917,95.843164,0.000533401,0.136550781,34.957,2.795383089,
106.9529167,294.6999917,95.852745,0.000697586,0.178582031,45.717,3.655820828,
106.9529167,294.6999917,95.862326,0.000539398,0.138085938,35.35,2.826809858,
106.9529167,294.6999917,95.877133,0.000621231,0.159035156,40.713,3.255669299,
106.9529167,294.6999917,95.910231,0.021724716,5.561527344,143.751,113.852146,
106.9529167,294.6999917,95.936362,0.00057637,0.147550781,37.773,3.020568282,
106.9529167,294.6999917,96.049592,0.004102005,1.050113281,12.829,21.49726923,
106.9529167,294.6999917,96.191566,0.000893509,0.228738281,58.557,4.682588538,
106.9678333,294.6999833,95.77,0.047324142,12.11498047,29.435,248.0103828,
106.9678333,294.6999833,95.79616,0.00089006,0.227855469,58.331,4.664516147,
